,id,host_since,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,has_cancelled,extra_cost_security,extra_cost_cleaning,mrt_dist,interchange,identity_manual,kba,phone,sesame_offline,google,selfie,government_id,facebook,zhima_selfie,manual_online,manual_offline,work_email,email,offline_government_id,reviews,jumio,weibo,sesame,verify_count,Bathtub,Gym,Dog(s),Airconditioning,EVcharger,Safetycard,Laptopfriendlyworkspace,Well-litpathtoentrance,Coffeemaker,Washer,Bedlinens,Highchair,TV,Other,Babymonitor,Essentials,Keypad,Hottub,Privatelivingroom,Changingtable,Kitchen,Wifi,Elevator,Outletcovers,Beachfront,Wideentryway,Iron,Petsliveonthisproperty,Cookingbasics,Smartlock,Singlelevelhome,Wheelchairaccessible,Babybath,Wideclearancetoshower,Beachessentials,toilet,Crib,Buzzer/wirelessintercom,Luggagedropoffallowed,Showergel,Extraspacearoundbed,Step-freeshower,Petsallowed,Groundflooraccess,Tablecornerguards,Electricprofilingbed,Privateentrance,Hotwater,Pocketwifi,Oven,Flatpathtoguestentrance,Smokedetector,Breadmaker,Handheldshowerhead,Otherpet(s),Dishesandsilverware,Microwave,Windowguards,Dishwasher,Lockonbedroomdoor,Stove,Indoorfireplace,Paidparkingoffpremises,Freeparkingonpremises,Fixedgrabbarsfortoilet,Kitchenette,Paidparkingonpremises,Lakeaccess,Disabledparkingspot,Stairgates,Hangers,Firstaidkit,Ethernetconnection,Breakfast,PacknPlay_travelcrib,Bathtubwithbathchair,Fireplaceguards,Firmmattress,Waterfront,Gameconsole,Poolwithpoolhoist,Family/kidfriendly,Showerchair,Widedoorwaytoguestbathroom,Accessible-heightbed,Hostgreetsyou,Suitableforevents,Childrensbooksandtoys,Hotwaterkettle,Shampoo,Pool,Wideentranceforguests,Fullkitchen,CableTV,Babysitterrecommendations,Buildingstaff,Cat(s),Smokingallowed,Trashcan,Gardenorbackyard,Dryer,Nostairsorstepstoenter,Freestreetparking,Fixedgrabbarsforshower,Lockbox,Airpurifier,Room-darkeningshades,Cleaningbeforecheckout,Heating,Carbonmonoxidedetector,Extrapillowsandblankets,Wideentrance,Hairdryer,Accessible-heighttoilet,Mobilehoist,Longtermstaysallowed,Privatebathroom,Selfcheck-in,BBQgrill,Fireextinguisher,Widehallways,Patioorbalcony,Doorman,Childrensdinnerware,Internet,Refrigerator,24-hourcheck-in,amenity_count
4102,27640661,1715.0,3,100.0,0.0,115.0,1.0,0.0,Rochor,Central Region,1,Serviced apartment,Hotel room,3,1.0,1.0,1.0,Real Bed,145.0,200.0,35.0,5,20.0,14,1124,0,0,0,15,1,1,strict_14_with_grace_period,0,0,104,68,0,0,0,1,1,422.914,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,8,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24
4103,27642158,1536.0,3,100.0,0.0,11.0,1.0,0.0,Kallang,Central Region,1,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,50.0,0.0,0.0,1,0.0,2,1125,0,0,0,0,0,0,flexible,0,0,11,0,11,0,0,0,0,288.931,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8
4104,27675139,507.0,3,97.0,1.0,4.0,1.0,0.0,Downtown Core,Central Region,0,Condominium,Entire home/apt,12,3.0,3.0,6.0,Real Bed,338.0,200.0,100.0,4,45.0,2,1125,2,10,28,94,1,1,moderate,0,0,3,3,0,0,0,1,1,242.467,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,38
4105,27675580,1835.0,3,100.0,1.0,6.0,1.0,1.0,Rochor,Central Region,1,Condominium,Entire home/apt,8,2.0,2.0,3.0,Real Bed,280.0,300.0,100.0,5,30.0,2,1125,6,20,41,188,1,1,strict_14_with_grace_period,0,0,5,4,1,0,0,1,1,344.118,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,6,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,26
4106,27706221,1715.0,3,100.0,0.0,115.0,1.0,0.0,Novena,Central Region,1,Serviced apartment,Hotel room,6,1.0,2.0,2.0,Real Bed,218.0,200.0,50.0,4,20.0,5,1124,1,1,1,1,1,1,strict_14_with_grace_period,0,0,104,68,0,0,0,1,1,181.99,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,8,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,27
4107,27709128,1942.0,3,86.0,0.0,38.0,1.0,1.0,Geylang,Central Region,1,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,91.0,0.0,0.0,3,15.0,2,1125,0,20,50,325,1,0,strict_14_with_grace_period,0,0,39,0,39,0,0,0,0,900.835,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,7,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,23
4108,27718541,1087.0,3,93.048032936871,0.0,1.0,1.0,0.0,Kallang,Central Region,0,Condominium,Private room,1,1.0,1.0,1.0,Real Bed,78.0,0.0,0.0,1,0.0,2,1125,0,0,0,0,1,0,flexible,0,0,1,0,1,0,0,0,0,986.226,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,8,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,32
4109,27724182,2311.0,3,100.0,0.0,40.0,1.0,0.0,Downtown Core,Central Region,1,Apartment,Entire home/apt,6,2.0,2.0,4.0,Real Bed,308.0,200.0,0.0,6,30.0,2,1125,5,12,30,259,1,1,strict_14_with_grace_period,0,0,37,37,0,0,0,1,0,397.969,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
4110,27737495,1715.0,3,100.0,0.0,115.0,1.0,0.0,Kallang,Central Region,1,Serviced apartment,Hotel room,3,1.0,1.0,1.0,Real Bed,139.0,200.0,35.0,2,20.0,5,1124,4,26,56,331,1,1,strict_14_with_grace_period,0,0,104,68,0,0,0,1,1,192.61,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,8,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20
4111,27738463,1715.0,3,100.0,0.0,115.0,1.0,0.0,Kallang,Central Region,1,Serviced apartment,Hotel room,3,1.0,1.0,1.0,Real Bed,130.0,200.0,35.0,2,20.0,4,1124,0,12,42,317,1,1,strict_14_with_grace_period,0,0,104,68,0,0,0,1,1,969.592,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,8,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22
